0782140661,OCP: Oracle9i Certification Kit,2002,Computer,104.97,50000,3,TBD
0072227885,SQL Server 2000 for Experienced DBA's,2003,Computer,34.99,10000,4,TBD
0471200247,The Data Warehouse Toolkit: The Complete Guide to Dimensional Modeling,2002,Computer,50.00,23400,5,TBD
0072227710,How To Do Everything with Your Tablet PC,2003,Computer,17.49,150203,2,TBD
1558605525,Data Mining: Practical Machine Learning Tools and Techniques with Java Implementations,1999,Computer,49.95,456467,1,TBD
0972263608,Creating Documents with BusinessObjects 5.1,2002,Computer,99.00,1345453,2,TBD
0425188361,Cerulean Sins,2003,Literature & Fiction,16.07,897863,4,TBD
0142001740,The Secret Life of Bees,2003,Literature & Fiction,14.00,46256,3,TBD
0312311354,The Pianist,2003,Literature & Fiction,13.00,6452345,4,TBD
0312287941,The Girl in the Red Coat: A Memoir,2002,Literature & Fiction,25.95,234546,2,TBD
0312243022,The Hours,2000,Literature & Fiction,3.44,756743,1,TBD
0743467523,Dreamcatcher,2003,Horror,7.99,3839405,4,TBD
0375703764,House of Leaves,2000,Horror,19.95,56576,5,TBD
0345452089,The Vampire's Violin,2003,Horror,6.99,85465,2,TBD
0385504470,Lullaby: A Novel,2002,Horror,17.47,132435,4,TBD
0312276702,Jinn: A Novel,2003,Horror,24.95,63246,1,TBD
0345409469,The Demon-Haunted World: Science As a Candle in the Dark,1997,Science,14.95,834423,3,TBD
0375508325,Cosmos,2002,Science,35.00,2425560,4,TBD
0345336895,Broca's Brain: Reflections on the Romance of Science,1993,Science,6.99,3464578,5,TBD
0671004107,Contact,1997,Science,7.99,9456457,5,TBD
0345376595,Pale Blue Dot: A Vision of the Human Future in Space,1997,Science,12.95,35467,4,TBD
1561584029,The Complete Illustrated Guide to Furniture and Cabinet Construction,2001,Home Design,39.95,53234,2,TBD
1579902944,Choosing & Using Hand Tools,2002,Home Design,19.95,124235,2,TBD
1561586196,Building a Shed,2003,Home Design,19.95,7784,3,TBD
0061092177,Small Gods,1994,Fantasy,7.99,4546346,5,TBD
0060502935,Going Postal,2005,Fantasy,7.99,53454,2,TBD
0061020656,Pyramids,2001,Fantasy,7.99,2345,3,TBD
0060855925,The Color of Magic,2005,Fantasy,13.99,75534,1,TBD
0061020648,Guards! Guards!,2001,Fantasy,7.99,34556,3,TBD
0061161721,Unseen Academicals,2010,Fantasy,7.99,2556,4,TBD
